Timestamp,Upload Speed (B/s),Download Speed (B/s),Total Upload,Total Download,Total Usage
2025-11-24 02:01:09,4549,13742,7.43 MB,737.61 MB,745.04 MB
2025-11-24 02:01:10,746,7495,7.43 MB,737.62 MB,745.05 MB
2025-11-24 02:01:11,6357,520140,7.44 MB,738.12 MB,745.55 MB
2025-11-24 02:01:13,12089,2562136,7.45 MB,740.56 MB,748.01 MB
2025-11-24 02:01:14,330,6150,7.45 MB,740.57 MB,748.02 MB
2025-11-24 02:01:15,396,7428,7.45 MB,740.57 MB,748.02 MB
2025-11-24 02:01:16,13517,1650856,7.46 MB,742.15 MB,749.61 MB
2025-11-24 02:01:17,5697,1813032,7.47 MB,743.88 MB,751.34 MB
2025-11-24 02:01:18,396,6270,7.47 MB,743.88 MB,751.35 MB
2025-11-24 02:01:19,264,6510,7.47 MB,743.89 MB,751.36 MB
2025-11-24 02:01:20,451,7494,7.47 MB,743.89 MB,751.36 MB
2025-11-24 02:01:21,451,6336,7.47 MB,743.90 MB,751.37 MB
2025-11-24 02:01:22,413,6409,7.47 MB,743.91 MB,751.38 MB
2025-11-24 02:01:23,14450,2400266,7.48 MB,746.20 MB,753.68 MB
2025-11-24 02:01:24,2233,610895,7.49 MB,746.78 MB,754.27 MB
2025-11-24 02:01:25,330,7614,7.49 MB,746.79 MB,754.27 MB
2025-11-24 02:01:26,8599,1439658,7.50 MB,748.16 MB,755.65 MB
2025-11-24 02:01:27,330,6270,7.50 MB,748.16 MB,755.66 MB
2025-11-24 02:01:28,9115,1538112,7.50 MB,749.63 MB,757.14 MB
2025-11-24 02:01:29,396,6390,7.50 MB,749.64 MB,757.14 MB
2025-11-24 02:01:30,9862,1810814,7.51 MB,751.36 MB,758.88 MB
2025-11-24 02:01:31,633,6793,7.51 MB,751.37 MB,758.89 MB
2025-11-24 02:01:32,1271,8712,7.52 MB,751.38 MB,758.90 MB
2025-11-24 02:01:33,330,7428,7.52 MB,751.39 MB,758.90 MB
2025-11-24 02:01:35,15904,2341381,7.53 MB,753.62 MB,761.15 MB
2025-11-24 02:01:36,666,98336,7.53 MB,753.71 MB,761.25 MB
2025-11-24 02:01:37,330,6330,7.53 MB,753.72 MB,761.25 MB
2025-11-24 02:01:38,506,7674,7.53 MB,753.73 MB,761.26 MB
2025-11-24 02:01:39,330,6276,7.53 MB,753.73 MB,761.27 MB
2025-11-24 02:01:40,385,7674,7.53 MB,753.74 MB,761.27 MB
2025-11-24 02:01:41,451,6336,7.53 MB,753.75 MB,761.28 MB
2025-11-24 02:01:42,666,6774,7.53 MB,753.75 MB,761.29 MB
